"name";"lat";"lon";"kanton"
"Suchy";46.72351;6.59935;"VD"
"Subingen";47.19852;7.61949;"SO"
"Suberg";47.06098;7.33726;"BE"
"Stierva";46.66369;9.54229;"GR"
"Stuls";46.65061;9.73174;"GR"
"Stuckishaus";46.97306;7.43616;"BE"
"Strengelbach";47.27917;7.92895;"AG"
"Strassberg";46.84559;9.75041;"GR"
"Stössen";46.78333;7.4;"BE"
"Stoss";47.36123;9.49471;"AR"
"Stoos";46.97674;8.66323;"SZ"
"Stock";46.93409;8.64839;"UR"
"Stilli";47.5172;8.23159;"AG"
"Stettlen";46.95835;7.52508;"BE"
"Stettfurt";47.52588;8.95317;"TG"
"Steinibach";46.90821;9.14547;"GL"
"Steinhausen";47.1951;8.48581;"ZG"
"Steinhaus";46.83388;7.34219;"BE"
"Steinhaus";46.42184;8.17741;"VS"
"Steinerberg";47.05484;8.58584;"SZ"
"Steinenberg";46.54753;7.76799;"BE"
"Steinen";47.04975;8.61214;"SZ"
"Stein am Rhein";47.65933;8.85964;"SH"
"Stein";47.54403;7.95256;"AG"
"Stein";47.37127;9.34353;"AR"
"Steingletscher";46.7306;8.42758;"BE"
"Steg";47.35056;8.93419;"ZH"
"Steffisburg";46.77807;7.63249;"BE"
"Steckborn";47.66667;8.98333;"TG"
"Stechelberg";46.54313;7.90149;"BE"
"Staviala Vedra";46.68272;9.10672;"GR"
"Staufen";47.38197;8.16681;"AG"
"Starlera";46.51189;9.46794;"GR"
"Stansstad";46.9768;8.33553;"NW"
"Stans";46.95805;8.36609;"NW"
"Stampa";46.3429;9.59072;"GR"
"Stallikon";47.32582;8.48965;"ZH"
"Staldenried";46.22937;7.88269;"VS"
"Stalden";46.88712;8.21254;"OW"
"Stalden";46.87424;7.61959;"BE"
"Stalden";46.23341;7.87273;"VS"
"Staffelbach";47.28395;8.04208;"AG"
"Stafelti";46.61531;9.15596;"GR"
"Stafel Alp";46.77045;9.78506;"GR"
"Stafel";46.67427;9.48962;"GR"
"Stafel";46.0058;7.6899;"VS"
"Stäfa";47.24254;8.72342;"ZH"
"Stadel";47.5294;8.46353;"ZH"
"Stachelberg Bad";46.92855;9.00141;"GL"
"Stabio";45.84846;8.93642;"TI"
"Stabbio";46.40424;9.24826;"GR"
"Spruga";46.20088;8.5678;"TI"
"Spreitenbach";47.42285;8.36792;"AG"
"Sporz";46.71349;9.54069;"GR"
"Splügen";46.55178;9.32217;"GR"
"Spitzenhaus";46.96667;7.88333;"BE"
"Spitelrüti";46.88333;8.88333;"UR"
"Spiringen";46.87259;8.73017;"UR"
"Spiggengrund";46.56667;7.78333;"BE"
"Spiez";46.68473;7.69111;"BE"
"Speicher";47.4109;9.44335;"AR"
"Speicher";46.76308;7.88879;"BE"
"Soyhières";47.39109;7.36982;"JU"
"Soussillon";46.26033;7.57577;"VS"
"Soubey";47.30854;7.0491;"JU"
"Sottens";46.65521;6.74197;"VD"
"Sorte";46.29268;9.18485;"GR"
"Sornico";46.39841;8.65363;"TI"
"Sornetan";47.2743;7.21651;"BE"
"Soresina";46.1206;8.91806;"TI"
"Sorens";46.6691;7.05249;"FR"
"Sorengo";45.99766;8.93783;"TI"
"Sörenberg";46.82216;8.03738;"LU"
"Soral";46.14369;6.04282;"GE"
"Sool";47.00072;9.08605;"GL"
"Sonvilier";47.13883;6.96404;"BE"
"Sonvico";46.05799;8.99128;"TI"
"Sonogno";46.3504;8.78514;"TI"
"Sonceboz";47.19654;7.17751;"BE"
"Somvix";46.72845;8.93884;"GR"
"Somprai";46.29756;10.04468;"GR"
"Sommerau";47.43868;7.85308;"BL"
"Somlaproz";46.0185;7.13132;"VS"
"Someo";46.28723;8.6623;"TI"
"Solothurn";47.20791;7.53714;"SO"
"Solduno";46.17054;8.77578;"TI"
"Soja";46.5;8.98333;"TI"
"Soglio";46.34199;9.53925;"GR"
"Sobrio";46.3988;8.90064;"TI"
"Soazza";46.36637;9.22199;"GR"
"Siviriez";46.65852;6.87774;"FR"
"Sissach";47.46408;7.80888;"BL"
"Sisikon";46.94915;8.62003;"UR"
"Siselen";47.03242;7.18882;"BE"
"Sirnach";47.46222;8.99763;"TG"
"Sitten";46.22739;7.35559;"VS"
"Sins";47.19296;8.39384;"AG"
"Simplon Dorf";46.19451;8.05753;"VS"
"Silvrettahaus";46.86667;10.03333;"GR"
"Silvaplana";46.4581;9.79514;"GR"
"Sils im Domleschg";46.70041;9.45404;"GR"
"Silenen";46.7891;8.67325;"UR"
"Sihlbrugg Dorf";47.21566;8.57354;"ZG"
"Sigriswil";46.71656;7.71335;"BE"
"Signôra";46.09258;9.04716;"TI"
"Signina";46.73545;9.24953;"GR"
"Signau";46.91944;7.72418;"BE"
"Siglistorf";47.54459;8.37952;"AG"
"Sigirino";46.08159;8.91645;"TI"
"Sierre";46.29192;7.53559;"VS"
"Siegershausen";47.6112;9.1684;"TG"
"Siebnen";47.17449;8.89781;"SZ"
"Siblingen";47.71435;8.52011;"SH"
"Sézegnin";46.14485;6.00672;"GE"
"Sevelen";47.12213;9.48601;"SG"
"Seth";46.78333;9.15;"GR"
"Sessa";45.99855;8.81968;"TI"
"Sertig Döfli";46.72635;9.84843;"GR"
"Serrières";46.98333;6.90323;"NE"
"Seraplana";46.85169;10.41733;"GR"
"Seon";47.34848;8.16072;"AG"
"Sent";46.81717;10.33683;"GR"
"Sennwald";47.26063;9.50268;"SG"
"Sengg";46.70441;7.95096;"BE"
"Semsales";46.57321;6.92948;"FR"
"Sempach";47.13577;8.19149;"LU"
"Sementina";46.18363;8.99162;"TI"
"Sembrancher";46.07752;7.15279;"VS"
"Selzach";47.20531;7.45521;"SO"
"Seltisberg";47.46249;7.72039;"BL"
"Selma";46.32044;9.12004;"GR"
"Selfranga";46.86143;9.88416;"GR"
"Sils-Segl Maria";46.42886;9.76364;"GR"
"Seftigen";46.78765;7.53937;"BE"
"Seewis im Prätigau";46.99023;9.63775;"GR"
"Seewis";46.76553;9.21998;"GR"
"Seewen";47.02883;8.63039;"SZ"
"Seengen";47.32503;8.20724;"AG"
"Seelisberg";46.97302;8.58689;"UR"
"Seegräben";47.34124;8.77131;"ZH"
"Seedorf";47.03445;7.31249;"BE"
"Seedorf";46.88199;8.61611;"UR"
"Seeberg";47.15585;7.66567;"BE"
"Sedrun";46.67934;8.77305;"GR"
"Sédeilles";46.74859;6.93306;"VD"
"Scuol";46.79671;10.29804;"GR"
"Scona";46.52806;8.9283;"TI"
"Schwyz";47.02076;8.65414;"SZ"
"Schwendi";46.74932;7.69083;"BE"
"Schwendi";46.72712;7.87294;"BE"
"Schwellbrunn";47.35255;9.24894;"AR"
"Schweizerhalle";47.53153;7.6716;"BL"
"Schwefelbergbad";46.71538;7.41719;"BE"
"Schwarzenthal";46.75651;8.31436;"BE"
"Schwarzenegg";46.79529;7.71685;"BE"
"Schwarzenburg";46.81811;7.34208;"BE"
"Schwarzenberg";47.01705;8.17261;"LU"
"Schwändi";47.0062;9.06591;"GL"
"Schwändi";46.93042;9.1742;"GL"
"Schwanden";46.99541;9.0701;"GL"
"Schwanden";46.73641;7.71776;"BE"
"Schwaderloch";47.58541;8.14455;"AG"
"Schürlialp";46.73132;9.91431;"GR"
"Schüpfheim";46.95161;8.01723;"LU"
"Schüpfen";47.03661;7.37723;"BE"
"Schüpbach";46.92605;7.74004;"BE"
